Title,IMDB_ID,Subtitle,Status,Media Type,Remarks,Year,genre,runtime,director,plot,award,imdb_rating,release_date,directors
SAVING JESSICA LYNCH,tt0377112,,APP,TV,"APPROVED RELATIVELY MODEST ASSISTANCE: TWO DAYS OF FILMING WITH NATIONAL GUARD UH-60 BLACK HAWK IN EL PASO AREA; FILMING IN DALLAS AREA WITH TACTICAL AND COMBAT VEHICLES (TX ARMY NATIONAL GUARD ALSO), PLUS A NON-FLYING USMC C-130 POSITIONED AT NAVY-MANAGED CARSWELL JOINT RESERVE BASE AS BACKGROUND. ORIGINAL SCRIPT WAS WILDLY UNREALISTIC, AS WERE EARLY NEWS REPORTS. BUT AS OFFICIAL INFORMATION BECAME PUBLIC (ESPECIALLY THE OFFICAL ARMY REPORT OF THE 507TH CAPTURE), THE FILMMAKERS RADICALLY ALTERED THE SCRIPT TO MAKE IT REASONABLY REALISTIC.",2003,"Drama, War",94 min,Peter Markle,"When Mohammed Al-Rehaief, a young Iraqi lawyer, learns that Private first class Jessica Lynch, a 19-year old U.S. soldier from West Virginia, is held as POW in an Iraqi hospital, he wants to find out what a girl the age of his own daughters is doing and why she's being held, both the U.S. troops and his nationalist countrymen start treating him as a suspect- his personal drama is adding itself to hers and countless other ones in post-Saddam Iraq...",2 nominations.,4.0,09 Nov 2003,nm0548533
SAVING PRIVATE RYAN,tt0120815,,OTH,FILM,ARMY OFFICE IN LA CRITIQUED SCRIPT AND POINTED OUT TECHNICAL ERRORS INCLUDING REALITY THAT THE PENTAGON COULD NOT HAVE LEARN ED TWO DAYS AFTER D-DAY THAT TWO RYAN BROTHERS HAD DIED ON DDAY. ARMY HAD NO EQUIPMENT DATING FROM WORLD WAR II. SPIELBERG USED IRISH ARMY FOR LANDINGS AND SUBSEQUENT SCENES SHOT IN ENGLAND,1998,"Drama, War",169 min,Steven Spielberg,"Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother...",Won 5 Oscars. Another 74 wins & 75 nominations.,8.6,24 Jul 1998,nm0000229
SAYONARA,tt0050933,,APP,FILM,"AIR FORCE INITIALLY RELUCTANT TO PROVIDE ASSISTANCE BECAUSE OF INTER-RACIAL DATING AND SUICIDE OF ONE OF ITS ENLISTED MEN. ULTIMATELY, PROVIDED PLANES AND EQUIPMENT",1957,"Drama, Romance",147 min,Joshua Logan,"Major Lloyd Gruver, a Korean War flying ace reassigned to Japan, staunchly supports the military's opposition to marriages between American troops and Japanese women. But that's before Gruver experiences a love that challenges his own deeply set prejudices... and plunges him into conflict with the U.S. Air Force and Japan's own cultural taboos.",Won 4 Oscars. Another 4 wins & 18 nominations.,7.1,20 Dec 1957,nm0517597
"SDLDIER'S STORY, A",tt0088146,,APP,FILM,DOD FELT THIS FILM MIGHT GIVE THE AUDIENCE BACKGROUND AND INSIGHT ON THE BEGINNING OF INTEGRATION IN THE ARMED FORCES. REQUEST FOR FILMING ON FORT CHAFFEE PROVED TO BE BENEFICIAL TO DOD.,1984,"Crime, Drama, Mystery, War",101 min,Norman Jewison,A black soldier is killed while returning to his base in the deep south. The white people of the area are suspected at first. A tough black army attorney is brought in to find out the truth. We find out a bit more about the dead soldier in flashbacks - and that he was unpopular. Will the attorney find the killer ?,Nominated for 3 Oscars. Another 6 wins & 6 nominations.,7.2,02 Nov 1984,nm0422484
SEAL KIDS,Never Made,SEALS,DEN,TV,"BY PHONE, THE DEPARTMENT INFORMED THE PRODUCTION THAT THERE WAS NOTHING THEY COULD DO AS FAR AS ASSISTANCE. NOTHING WAS EVER SUBMITTED IN WRITING, NO RECORD OF FILM BEING ",,,,,,,,,
SEPARATE BUT EQUAL,tt0102879,,APP,TV,THE ARMY ALLOWED USE OF WALTER REED ARMY HOSPITAL AFTER TWO SLIGHT INACCURACIES WERE CORRECTED. BENEFICIAL TO THE ARMY AND THE DEPARTMENT,1991,"Drama, History",190 min,George Stevens Jr.,This film follows the true story of the NAACP court court challenge of racial school segregation in the Brown vs. Board of Education. This was the struggle would destroy the legal validity for racial segregation in general and prove to be the start and the first major victory of the civil rights movement.,Nominated for 3 Golden Globes. Another 3 wins & 9 nominations.,7.4,07 Apr 1991,nm0828211
SERGEANT YORK,tt0034167,,LIM,FILM,CLASSIC PRE-WORLD WAR II PREPAREDNESS FILM ABOUT HERO OF WORLD WAR I. PRO-INTERVENTION PROPAGANDA. ARMY PROVIDED SOME HELP IN STAGING COMBAT SEQUENCES,1941,"Biography, Drama, History, Romance, War",134 min,Howard Hawks,A hillbilly sharpshooter becomes one of the most celebrated American heroes of WWI when he single-handedly attacks and captures a German position using the same strategy as in turkey shoot.,Won 2 Oscars. Another 3 wins & 10 nominations.,7.7,27 Sep 1941,nm0001328
SEVEN DAYS IN MAY,tt0058576,,DEN,FILM,"THE PENTAGON DENIED ALL ASSISTANCE IN LIGHT OF STORY OF CHAIRMAN OF THE JOINT CHIEFS OF STAFF PLANNING A COUP BECAUSE PRESIDENT SIGNED A DISARMAMENT TREATY. HOWEVER, FILMMAKERS TALKED THEIR WAY ABOARD AN AIRCRAFT CARRIER IN SAN DIEGO TO OBTAIN SHOTS TO CREATE AMBIANCE OF CARRIER. PRODUCER ADMITTED BUT CLAIMED NAVY SHOULD HAVE INFORMED ALL SHIPS NOT TO LET HIM ABOARD AND SAID HE WAS ONLY HELPING DIRECTOR.",1964,"Drama, Thriller",118 min,John Frankenheimer,"An unpopular U.S. President manages to get a nuclear disarmament treaty through the Senate, but finds that the nation is turning against him. Jiggs Casey, a Marine Colonel, finds evidence that General Scott, the wildly popular head of the Joint Chiefs and certain Presidential Candidate in 2 years is not planning to wait. Casey goes to the president with the information and a web of intrigue begins with each side unsure of who can be trusted.",Nominated for 2 Oscars. Another 4 wins & 6 nominations.,7.8,13 Feb 1964,nm0001239
SGT BILKO,tt0117608,,DEN,FILM,"NEVER RECEIVED FORMAL REQUEST. BUT SAAV PERSONALLY TOLD IMAGINE ENTERTAINMENT CO-OWNER BRIAN GLAZER ""HOPELESS"", AND OCPA-LA TOLD UNIVERSAL EXECUTIVE ANDY GIVEN AND IMAGINE ENTERTAINMENT EXECUTIVE THAT IT IS HOPELESS. COMPLETELY NEGATIVE, INACCURATE. IMPOSSIBLE TO ALTER BY ANY MEANS OTHER THAN TOTAL REWRITE AND COMPLETELY NEW FILM.",1996,Comedy,93 min,Jonathan Lynn,"Sgt. Bilko is in charge of the Motor Pool at an Army base. He's also a good-natured con man, providing gambling facilities for the soldiers on base. When an old enemy from his past shows up to inspect his records and steal away his fianceé, Sgt. Bilko has to put his skills to creative use...",1 win.,5.9,29 Mar 1996,nm0528718
"SHEPHERD, THE",tt1236414,,APP,FILM,DOD AND THE AIR FORCE FELT THE FILM WOULD BE POSITIVE FOR THEM BOTH. ALL REQUESTS WERE GRANTED. ,1984,Drama,79 min,Donald W. Thompson,"Exciting ""top gun"" action and conflict in the lives of the men who push the edge of danger defending our skies.",,4.0,30 Nov 2005,nm0860078
SHINING THROUGH,tt0105391,,LIM,FILM,THE DEPARTMENT AND THE AIR FORCE RELEASED SOME WWII STOCK FOOTAGE TO THE PRODUCTION FOR RELEASE,1992,"Drama, Romance, Thriller, War",132 min,David Seltzer,"1940, Linda Voss is a woman of Irish, Jewish-German parentage who loves the movies, especially films about war and spies. She gets a job at a New York law firm, after it's revealed she can speak German, fluently. As secretary and translator to Ed Leland, she begins to suspect that her boss is involved in espionage work. The two become lovers, and when America officially joins the Allies in fighting Hitler, Linda volunteers to go undercover behind enemy lines.",5 wins & 2 nominations.,6.5,31 Jan 1992,nm0783544
SHIPMATES,tt0022376,,APP,FILM,"FIRST SOUND MOVIE MADE AT THE NAVAL ACADEMY. TYPICAL ROMANCE WITH SONGS. FULL COOPERATION WITH PARADES, CAMPUS, ETC",1931,"Comedy, Drama, Romance",72 min,Harry A. Pollard,The handsome young seaman John Paul Jones falls in love with Kit Corbin. Kit is the daughter of admiral Ben Corbin. But John is unable to act upon his love because of social class differences. Meanwhile a perpetually angry Capt. Henry Beatty constantly abuses him while he struggles to get into the Naval Academy.,,5.7,25 Apr 1931,nm0689471
SHIPMATES FOREVER,tt0026988,,APP,FILM,"ANOTHER IN SERIES OF NAVAL ACADEMY FILMS DURING THE 1935. SAME PARADES, SCENIC CAMPUS, ETC. POPULARITY PROBABLY AROSE FROM ESCAPISM DURING DEPRESSION",1935,"Drama, Musical, Romance",109 min,Frank Borzage,"Dick is watching the fleet come in when he sees June. Dick has no intention of joining the Navy, which is a family tradition, and June, having lost her father and brother in the Navy, does ...",,6.1,12 Oct 1935,nm0097648
SHOW OF FORCE,tt0100606,,LIM,FILM,THE DEPARTMENT PROVIDED COURTESY ASSISTANCE TO THE PRODUCTION. THEY PROVIDED AUTHORIZATION FOR OFF-DUTY MARINES BEING USED IN AN OPENING PARADE SEQUENCE. THEY WERE ON LEAVE STATUS AND THE SCRIPT BROUGHT NO DISCREDIT TO THE CORPS.,1990,"Drama, Thriller",95 min,Bruno Barreto,"Porto Rico, 1978. The Antillian autonomous US Commonwealth is divided by supporters of becoming a full US member state and independence activists, including a violent wing the governor labels as terrorists. Divorced reporter Kate Melendez, widow of independista lawyer Juan, gets in personal danger when she stumbles on a dark set-up. Federal agent Jesus Fuentes officially infiltrated an operation to illegally broadcast a message on Constitution Day in which students Jorge Rey and Alfredo Ruiz are killed. He instigates kidnappings and murders, covered by powerful people. She's scared away, but the senate appoints a special investigator, Luis Angel Mora.",,5.3,11 May 1990,nm0000853
SIMON AND SIMON,tt0081930,,LIM,TV,DOD FOUND NOTHING OBJECTIONABLE ABOUT THE SCRIPT AND ASSISTED WITH USE OF SOME STOCK FOOTAGE.,1981.0,"Action, Crime, Drama, Mystery",60 min,,"A.J. Simon is a polished fellow with a taste for classic cars and tailored suits. Rick Simon is his less refined (but still pleasant) older brother who has a taste for cowboy boots and four-wheel drive pickups. The two of them live in San Diego, where they own a private detective agency. The series chronicles their exploits.",Nominated for 2 Primetime Emmys. Another 4 nominations.,7.1,24 Nov 1981,"nm0918659,nm0129135,nm0128434,nm0342031,nm0082676,nm0002953,nm0232702,nm0468609,nm0645640,nm0042500,nm0568546,nm0469957,nm0447944,nm0178114,nm0842093,nm0001904,nm0568535,nm0595537,nm0638527,nm0892144,nm0543129,nm0626872,nm0574468,nm0505420,nm0132095,nm0230529,nm0271708"
SLEEPLESS IN SEATTLE,tt0108160,,LIM,FILM,"PRODUCTION COMPANY REQUESTED USE OF NAVY HANGAR IN WASHINGTON STATE, SEATTLE AREA, FOR USE AS A PRODUCTION FACILITY. CONSIDERING HANGAR WILL SOON BE TURNED OVER TO THE STATE, WE AGREED, ALTHOUGH THERE IS NO MILITARY THEME TO THE PICTURE AT ALL.",1993,"Comedy, Drama, Romance",105 min,Nora Ephron,"After his wife Maggie passes away, Sam Baldwin and his 8-year-old son Jonah relocate from Chicago to Seattle to escape the grief associated with Maggie's death. Eighteen months later Sam is still grieving and can't sleep. Although Jonah misses his mother, he wants his father to get a new wife despite Sam having not even contemplated dating again. On Christmas Eve, Sam (on Jonah's initiative) ends up pouring his heart out on a national radio talk show about his magical and perfect marriage to Maggie, and how much he still misses her. Among the many women who hear Sam's story and fall in love with him solely because of it is Annie Reed, a Baltimore-based newspaper writer. Annie's infatuation with Sam's story and by association Sam himself is despite being already engaged. But Annie's relationship with her straight-laced fiancé Walter is unlike her dream love life in the movie An Affair to Remember (1957). She even writes to Sam proposing they meet atop the Empire State Building on Valentine's Day. Back in Seattle, Sam has received hundreds of letters from women wanting to meet him. Jonah is excited by one letter in particular from Baltimore and will do whatever he needs to to get his father and Annie together. However, old fashioned Sam wants his future love life to be based on meeting a woman the traditional way and he, in turn, becomes infatuated with an unknown woman he spots a few times in Seattle. Will magic happen twice in Sam's life, and if so will it be with this unknown woman or Annie?",Nominated for 2 Oscars. Another 4 wins & 17 nominations.,6.8,25 Jun 1993,nm0001188
SOUTH PACIFIC,tt0052225,,APP,FILM,"THE MARINES AND THE NAVY PROVIDED MEN AND EQUIPMENT FOR THE MUSICAL. BOTH SERVICES DID HAVE SOME PROBLEMS WITH THE STORY AND IMAGES, BUT OVERLOOKED THEM BECAUSE OF THE GENRE",1958,"Musical, Romance, War",157 min,Joshua Logan,"Can a girl from Little Rock find happiness with a mature French planter she got to know one enchanted evening away from the military hospital where she is a nurse? Or should she just wash that man out of her hair? Bloody Mary is the philosopher of the island and it's hard to believe she could be the mother of Liat who has captured the heart of Lt. Joseph Cable USMC. While waiting for action in the war in the South Pacific, sailors and nurses put on a musical comedy show. The war gets closer and the saga of Nellie Forbush and Emile de Becque becomes serious drama.",Won 1 Oscar. Another 10 nominations.,6.8,14 Apr 1958,nm0517597
SOUTHERN COMFORT,tt0083111,,APP,FILM,"AFTER SOME HESITATION, THE LOUISIANA NATIONAL GUARD PROVIDED MEN AND A HELICOPTER FOR FILMING A NON-VIETNAM, VIETNAM STORY ABOUT A NATIONAL GUARD UNIT THAT GOES INTO THE BAYOUS FOR WEEKEND TRAINING AND ENCOUNTER CAJUN NATIVES. WHEN THE UNIT STEALS SOME CANOES, THE NATIVES START PICKING OFF THE NATIONAL GUARDSMEN. THE FILMMAKERS ACKNOWLEDGED THAT THE MOVIE WAS A PARABLE FOR VIETNAM",1981,"Action, Thriller",106 min,Walter Hill,"A squad of National Guards on an isolated weekend exercise in the Louisiana swamp must fight for their lives when they anger local Cajuns by stealing their canoes. Without live ammunition and in a strange country, their experience begins to mirror the Vietnam experience.",,7.2,25 Sep 1981,nm0001353
SPACE,tt0088611,,APP,TV,APPROVED AND TO THE BEST INTEREST OF ALL THE SERVICES,1985,Drama,780 min,,A 13-hour mini-series detailing James A. Michner's fictional account of the American space program from the years after World War II to the Apollo landings on the moon in the early 1970s.,Won 1 Primetime Emmy. Another 3 nominations.,7.3,14 Apr 1985,"nm0680097,nm0765121"
SPECIAL BULLETIN,tt0086350,,DEN,TV,"THE FILM WAS FELT TO BE MISLEADING TO THE PUBLIC REGARDING CONTROLS OVER NUCLEAR WEAPONS, THE SECURITY OF MATERIALS CRITICAL TO THE MANUFACTURER OF NUCLEAR WEAPONS AND THE CAPABILITIES OF DOD.",1983,Drama,103 min,Edward Zwick,"A TV reporter and cameraman are taken hostage on a tugboat while covering a workers strike. The demands of the hostage-takers are to collect all the nuclear detonators in the Charleston, SC...",Won 4 Primetime Emmys. Another 3 wins & 2 nominations.,7.6,20 Mar 1983,nm0001880
"STAND, THE",tt0108941,,DEN,TV,"REQUESTED USE OF MILITARY EQUIPMENT AND INSTALLATIONS FOR ABC-TV MINISERIES BASED ON STEPHEN KING NOVEL OF SAME NAME. LETTER FROM PRODUCTION MANAGER READ, IN PART, THAT THE PRODUCER HOPED THAT THE NATURE OF THE STORY, WHICH DEPICTED THE ARMY ACCIDENTALLY RELEASING A GAS THAT ALMOST KILLS EVERYONE IN AMERICA, WOULD NOT DETER THE DOD FROM FAVORABLY CONSIDERING HIS REQUEST FOR ASSISTANCE. DECLINED ASSISTANCE.",1994,"Adventure, Drama, Fantasy, Horror, Sci-Fi",361 min,Mick Garris,"When a government-run lab accidentally lets loose a deadly virus, most of the population of the world is wiped out. Survivors begin having dreams about two figures: a mystical old woman, or a foreboding, scary man. As the story tracks various people, we begin to realize that the two figures exemplify basic forces of good and evil, and the stage is set for a final confrontation between the representatives of each.",Won 2 Primetime Emmys. Another 1 win & 7 nominations.,7.2,08 May 1994,nm0308376
STAR SPANGLED BANNER,tt0794369,,APP,FILM,"FILM WAS SHOT WITH FULL MARINE CORPS COOPERATION AT THE MARINE BARRACKS IN BREMERTON, WASHINGTON. THE MARINES PROVIDED THE LOCATION, MARINES AS EXTRAS, AND EQUIPMENT FOR A RITE OF PASSAGE STORY OF A HALF-ENGLISH, HALF-AMERICAN TEENAGER WHOSE MOTHER MARRIES A MARINE COLONEL AND HE COMES TO STAY, LEARNING ABOUT BOTH THE MARINES AND AMERICAN HISTORY. WHEN THE US. ENTERS WORLD WAR I, THE BOY PUTS THE UNION JACK AND STAR SPANGLED BANNER TOGETHER TO SYMBOLIZE THE NEW ALLIANCE",1917,"Short, Drama",30 min,Edward H. Griffith,A story of U.S. Marine Corps life.,,,10 Jun 1917,nm0341486
STAR TREK IV,tt0092007,,APP,FILM,APPROVED US OF NAVY'S U.S.S. RANGER. IN THE BEST INTEREST OF THE DEPARTMENT. NAVY HAD SOME CONCERN ABOUT ENTERPRISE CREW MEMBERS GETTING INTO SECURE LOCATIONS UNTIL REMINDED THAT A TRANSPORTER WOULD DELIVER CREW AND SO NOT BE A SECURITY VIOLATION,1986,"Action, Adventure, Comedy, Sci-Fi",119 min,Leonard Nimoy,"The most acclaimed Star Trek adventure of all time with an important message. It is the 23rd century, and a mysterious alien probe is threatening Earth by evaporating the oceans and destroying the atmosphere. In their frantic attempt to save mankind, Admiral Kirk and his crew must time travel back to 1986 San Francisco where they find a world of punk, pizza and exact-change buses that are as alien to them as anything they have ever encountered in the far-off reaches of the galaxy. William Shatner and Leonard Nimoy return as Kirk and Spock, along with the entire Star Trek crew.",Nominated for 4 Oscars. Another 4 wins & 14 nominations.,7.3,26 Nov 1986,nm0000559
STAR TREK: INSURRECTION,tt0120844,,LIM,FILM,"PRODUCTION COMPANY REQUESTED USE OF INACTIVE TITAN MISSILE SILO (WITH MISSILE) UNDER CUSTODY OF PIMA AIR MUSEUM, ARIZONA. OTHER THAN ""USAF"" ON MISSILE, NO MILITARY DEPICTION.",1998,"Action, Adventure, Sci-Fi, Thriller",103 min,Jonathan Frakes,"While on a mission to observe the peaceful Ba'ku race, Lt. Commander Data suddenly behaves as if having to fear for his existence. The immortal Ba'ku, whose planet offers regenerative radiation and therefore incredible lifespans, live in harmony with nature and reject advanced technology. Their planet and their culture is secretly researched by the Federation associated with an alien race called the Son'a. But the Son'a intend to abduct the Ba'ku in order to take the planet for themselves and for the Starfleet officials who all would like to regenerate their bodies. But they did not think of the loyalty of Captain Jean-Luc Picard and the crew of the Enterprise-E to the Prime Directive.",3 wins & 8 nominations.,6.4,11 Dec 1998,nm0000408
STARGATE SG-1,tt0118480,TITLE SEQUENCE,APP,TV,"PRODUCTION COMPANY REQUESTED TO FILM EXTERIOR OF ENTRANCE TO CHEYENNE MOUNTAIN COMPLEX FOR TITLE SEQUENCE. AS THE SCRIPTS INCORPORATED CONSIDERABLE INPUT FROM USAF, APPROVED REQUEST",1997.0,"Action, Adventure, Drama, Sci-Fi",44 min,,"General Hammond summons Colonel Jack O'Neill out of retirement to embark on a secret rescue mission. O'Neill confesses that he disobeyed orders to destroy the Stargate on Planet Abydos, and that scientist Daniel Jackson may still be alive. Arriving on Abydos with his team, O'Neill meets up once again with the scientist, who has discovered a giant elaborate cartouche in hieroglyphics. All signs point to the fact that this is a map of many Stargates that exist throughout the galaxy - a development that makes the dream of the SG-1 team to travel throughout the universe in time a reality.",Nominated for 9 Primetime Emmys. Another 18 wins & 88 nominations.,8.4,27 Jul 1997,"nm0217938,nm0939869,nm0586539,nm0912272,nm0314230,nm0913143,nm0937344,nm0877427,nm0044524,nm0320987,nm0180891,nm0322106,nm0077533,nm0002573,nm0178338,nm0247621,nm0941276,nm0163892,nm0369251,nm0573418,nm0496788,nm0788218,nm0850102"
